Row,Name,MaxRating,MinRating,Type,Part,Essence,Capacity,Availability,Cost,Description,Wireless,Source,Base,Container,Attachable,Bonus,Skill
233,"Modular Limb (Full Arm/Leg)",1,1,Cyberware,"Limb Accessories",1,"(Limb) -3","(Limb) +2","(Limb) + 3,000¥","Any cyberlimb may be purchased with a modular connector, allowing it to be connected to another modular connector. This allows the user to have several limbs, such as a synthetic arm for casual life and a tricked-out chrome arm for business, several optimized limbs for different occasions, and so on. Some simply choose to purchase multiple modular limbs, just in case they lose one!",NULL,SR5:CF,1,0,0,,
234,"Partial Cyberskull",1,1,Cyberware,"Limb Accessories",0.4,4,12,"8,000¥","The partial cyberskull is another throwback classic that’s seeing a comeback. By upgrading one side of the skull with a large interface board, quite a few upgrades can be installed directly into it, rather than requiring difficult surgery repeatedly, but it is less invasive and far less dangerous than a full cyberskull.",NULL,SR5:CF,1,1,0,,
235,"Raptor Foot",1,1,Cyberware,"Limb Accessories",0.5,[4],8R,"8,000¥","Similar to saurian or avian feet, raptor feet are large, deadly weapons that also serve for locomotion. The user trades go-anywhere weapons for a sad, shoeless existence, but this is a trade many are willing to endure. Raptor feet are difficult to use unless the user also has digigrade legs; attacks with the legs reduce the user’s Physical limit by 1.",NULL,SR5:CF,1,0,1,PhysicalLimit:-1,
236,Skates,1,1,Cyberware,"Limb Accessories",-,[2],4,250¥,"A simple modification where retractable skates are","Activating or deactivating the skates is a Free Action, rather than a Simple Action as normal.",SR5:CF,0,0,1,,
237,Skimmers,1,1,Cyberware,"Limb Accessories",-,[4],8,"2,000¥","A more complex option for cyberfeet is the use of ground-effect platforms, based on skimmer drone technology, to provide a cushion of air beneath the user and allow them to hover a few centimeters above the ground. It takes some practice to get the hang of it, but once mastered, the skimmers allow the user to move at double their normal walking or running speed when engaged. The fragile balance required to maneuver them reduces the user’s Physical limit by 2. Note that these are completely useless unless taken in pairs, and they’re unusable if the user attempts to carry any significant extra weight.","Activating or deactivating the skimmers is a Free Action, rather than a Simple Action as normal.",SR5:CF,0,0,1,,
238,"Snake Fingers",1,1,Cyberware,"Limb Accessories",-,[2],6,"1,000¥","A modification to cyberhands, where the fingers are extendable and feature rotational joints, allowing awide range of motion impossible with ordinary hands, as well as the ability to slip fingers through tight spaces or narrow gaps. Each cyberhand with snake fingers raises the user’s Physical limit by +1 for feats of manual dexterity, while a pair adds +1 to the user’s Palming skill.","Snake Fingers may be activated or deactivated as a Free Action, rather than a Simple Action.",SR5:CF,0,0,1,PhysicalLimit:1,Palming:1
239,"Telescopic Limbs",2,1,Cyberware,"Limb Accessories",-,"[Rating x 3]","Rating x 4","Rating x 1,000¥","Cyberlimbs modified with telescopic options may vastly increase their length, at a cost of strength, allowing the user to elevate themselves, reach high spots, or see over obstacles. While this extra reach can be quite useful, it comes at a cost in that the extended limbs cannot bring their full strength to bear. Note that the telescopic option may only be added to full or partial cyberlimbs, not hands or feet. For each point of Rating, a limb may be extended 1 meter, but for each meter extended, the user’s effective Strength with the limb is reduced by 2.","Telescopic limbs may be activated or deactivated as a Free Action, rather than as a Simple Action.",SR5:CF,0,0,1,,
240,"Water Jet",1,1,Cyberware,"Limb Accessories",-,[4],8,"1,000¥","Installed into a full or partial cyberleg, these waterjets speed a user’s path underwater. While one jet doubles the user’s Swimming speed, a pair triples it.",NULL,SR5:CF,0,0,1,,
241,"Remote Cyberhand",1,1,Cyberware,"Limb Accessories",0.25,[5],8,"8,000¥",NULL,NULL,SR5:R5.0,1,0,1,,
242,"Hold-Out Pistol",1,1,Cyberware,Weapon,0.1,[2],8R,"2,000¥","While there are a wide variety of cyberguns on the market, Ares was the first to recognize that name brands are name brands and, at the end of the day, a street samurai just feels more comfortable knowing that they have an Ares Predator up their sleeve rather than just some gun. Other corporations soon followed, as is so often the case, and in short order, a vast array of firearms became available in cybergun variants. Each uses their own statline as normal—for example, an Ares Predator V uses Ares Predator V stats, not “Implant Heavy Pistol” stats, though it uses the same Essence and Capacity as a normal cybergun of that type. In the case of an Ares Predator V, that would be 0.5 Essence/[6] Capacity, as a normal Implant Heavy Pistol. Modification of a normal gun into a cyber-implant version costs are shown on the following chart, while Availability is increased by 4. Tasers are treated as Light Pistols, Exotic Pistols are treated as Heavy Pistols, and other guns might be modifiable into cyberguns if the Gamemaster so chooses. Assault Rifles and larger weapons cannot be so modified.",NULL,Core,1,0,1,,
243,"Light Pistol",1,1,Cyberware,Weapon,0.25,[4],10R,"3,900¥","While there are a wide variety of cyberguns on the market, Ares was the first to recognize that name brands are name brands and, at the end of the day, a street samurai just feels more comfortable knowing that they have an Ares Predator up their sleeve rather than just some gun. Other corporations soon followed, as is so often the case, and in short order, a vast array of firearms became available in cybergun variants. Each uses their own statline as normal—for example, an Ares Predator V uses Ares Predator V stats, not “Implant Heavy Pistol” stats, though it uses the same Essence and Capacity as a normal cybergun of that type. In the case of an Ares Predator V, that would be 0.5 Essence/[6] Capacity, as a normal Implant Heavy Pistol. Modification of a normal gun into a cyber-implant version costs are shown on the following chart, while Availability is increased by 4. Tasers are treated as Light Pistols, Exotic Pistols are treated as Heavy Pistols, and other guns might be modifiable into cyberguns if the Gamemaster so chooses. Assault Rifles and larger weapons cannot be so modified.",NULL,Core,1,0,1,,
244,"Machine Pistol",1,1,Cyberware,Weapon,0.5,[6],12R,"3,500¥","While there are a wide variety of cyberguns on the market, Ares was the first to recognize that name brands are name brands and, at the end of the day, a street samurai just feels more comfortable knowing that they have an Ares Predator up their sleeve rather than just some gun. Other corporations soon followed, as is so often the case, and in short order, a vast array of firearms became available in cybergun variants. Each uses their own statline as normal—for example, an Ares Predator V uses Ares Predator V stats, not “Implant Heavy Pistol” stats, though it uses the same Essence and Capacity as a normal cybergun of that type. In the case of an Ares Predator V, that would be 0.5 Essence/[6] Capacity, as a normal Implant Heavy Pistol. Modification of a normal gun into a cyber-implant version costs are shown on the following chart, while Availability is increased by 4. Tasers are treated as Light Pistols, Exotic Pistols are treated as Heavy Pistols, and other guns might be modifiable into cyberguns if the Gamemaster so chooses. Assault Rifles and larger weapons cannot be so modified.",NULL,Core,1,0,1,,
245,"Heavy Pistol",1,1,Cyberware,Weapon,0.5,[6],12R,"4,300¥","While there are a wide variety of cyberguns on the market, Ares was the first to recognize that name brands are name brands and, at the end of the day, a street samurai just feels more comfortable knowing that they have an Ares Predator up their sleeve rather than just some gun. Other corporations soon followed, as is so often the case, and in short order, a vast array of firearms became available in cybergun variants. Each uses their own statline as normal—for example, an Ares Predator V uses Ares Predator V stats, not “Implant Heavy Pistol” stats, though it uses the same Essence and Capacity as a normal cybergun of that type. In the case of an Ares Predator V, that would be 0.5 Essence/[6] Capacity, as a normal Implant Heavy Pistol. Modification of a normal gun into a cyber-implant version costs are shown on the following chart, while Availability is increased by 4. Tasers are treated as Light Pistols, Exotic Pistols are treated as Heavy Pistols, and other guns might be modifiable into cyberguns if the Gamemaster so chooses. Assault Rifles and larger weapons cannot be so modified.",NULL,Core,1,0,1,,
246,"Submachine Gun",1,1,Cyberware,Weapon,1,[8],12R,"4,800¥","While there are a wide variety of cyberguns on the market, Ares was the first to recognize that name brands are name brands and, at the end of the day, a street samurai just feels more comfortable knowing that they have an Ares Predator up their sleeve rather than just some gun. Other corporations soon followed, as is so often the case, and in short order, a vast array of firearms became available in cybergun variants. Each uses their own statline as normal—for example, an Ares Predator V uses Ares Predator V stats, not “Implant Heavy Pistol” stats, though it uses the same Essence and Capacity as a normal cybergun of that type. In the case of an Ares Predator V, that would be 0.5 Essence/[6] Capacity, as a normal Implant Heavy Pistol. Modification of a normal gun into a cyber-implant version costs are shown on the following chart, while Availability is increased by 4. Tasers are treated as Light Pistols, Exotic Pistols are treated as Heavy Pistols, and other guns might be modifiable into cyberguns if the Gamemaster so chooses. Assault Rifles and larger weapons cannot be so modified.",NULL,Core,1,0,1,,
247,Shotgun,1,1,Cyberware,Weapon,1.25,[10],12R,"8,500¥","While there are a wide variety of cyberguns on the market, Ares was the first to recognize that name brands are name brands and, at the end of the day, a street samurai just feels more comfortable knowing that they have an Ares Predator up their sleeve rather than just some gun. Other corporations soon followed, as is so often the case, and in short order, a vast array of firearms became available in cybergun variants. Each uses their own statline as normal—for example, an Ares Predator V uses Ares Predator V stats, not “Implant Heavy Pistol” stats, though it uses the same Essence and Capacity as a normal cybergun of that type. In the case of an Ares Predator V, that would be 0.5 Essence/[6] Capacity, as a normal Implant Heavy Pistol. Modification of a normal gun into a cyber-implant version costs are shown on the following chart, while Availability is increased by 4. Tasers are treated as Light Pistols, Exotic Pistols are treated as Heavy Pistols, and other guns might be modifiable into cyberguns if the Gamemaster so chooses. Assault Rifles and larger weapons cannot be so modified.",NULL,Core,1,0,1,,
248,"Grenade Launcher",1,1,Cyberware,Weapon,1.5,[15],20F,"30,000¥","While there are a wide variety of cyberguns on the market, Ares was the first to recognize that name brands are name brands and, at the end of the day, a street samurai just feels more comfortable knowing that they have an Ares Predator up their sleeve rather than just some gun. Other corporations soon followed, as is so often the case, and in short order, a vast array of firearms became available in cybergun variants. Each uses their own statline as normal—for example, an Ares Predator V uses Ares Predator V stats, not “Implant Heavy Pistol” stats, though it uses the same Essence and Capacity as a normal cybergun of that type. In the case of an Ares Predator V, that would be 0.5 Essence/[6] Capacity, as a normal Implant Heavy Pistol. Modification of a normal gun into a cyber-implant version costs are shown on the following chart, while Availability is increased by 4. Tasers are treated as Light Pistols, Exotic Pistols are treated as Heavy Pistols, and other guns might be modifiable into cyberguns if the Gamemaster so chooses. Assault Rifles and larger weapons cannot be so modified.",NULL,Core,1,0,1,,
249,"External Clip Port",1,1,Cyberware,Weapon,0.1,[1],-,"1,000¥",NULL,NULL,Core,1,0,1,,
250,"Laser Sight",1,1,Cyberware,Weapon,-,[1],-,"1,000¥",NULL,NULL,Core,0,0,1,,
251,Silencer/Suppressor,1,1,Cyberware,Weapon,-,[2],-,"1,000¥",NULL,NULL,Core,0,0,1,,
252,"Extreme Cyber-Implant",1,1,Cyberware,Weapon,0.5,[5],8F,"2,000¥","Not all cyber-implant weapons are sexy blades or cool guns. Some are little more than strapping a power tool to a stump and letting fly. Buzzsaws, chainsaws, whirling flails—the field is as varied as the imagination. While there are obvious differences between a power drill and an automatic vice, the differences are mostly academic compared to their use as a weapon. It’s vital to note that extreme cyber-implant weapons fully replace one hand of the user, which can make life quite awkward! Lower the user’s Physical limit by 1 when trying to attack with an extreme cyber-implant weapon.",NULL,SR5:CF,1,0,1,,
253,"Fangs (Pair)",1,1,Cyberware,Weapon,0.1,[1],6,200¥,"While almost entirely replaced by bioware versions, fangs come in both retractable and non-retractable versions. Fangs are difficult to use as weapons but are frequently connected to chemical reservoirs to deploy venom or other chemical agents. Lower the user’s Physical limit by 2 when trying to attack an aware target with fangs.",NULL,SR5:CF,1,0,1,,
254,Retractable,1,1,Cyberware,Weapon,0.15,[2],8,500¥,NULL,NULL,SR5:CF,1,0,1,,
255,Flametosser,1,1,Cyberware,Weapon,1,[8],12F,"4,000¥","Not as effective as a full-fledged flamethrower, the flametosser is nonetheless a fun weapon for the more incendiary- minded shadowrunner. Consisting of a liquid sprayer, two chemical storage containers that ignite when mixed, and a small pop-up port for releasing it, the flametosser ordinarily holds enough ammunition for five shots, but additional fuel canisters may be added as needed. Each chemical has its own refueling port, and they are clearly color-coded when the ports are open, to ensure that no mishaps occur. Users who pour fuel into the wrong port and burst into flames have no legal recourse, per Ares Macrotechnology vs. Jablonski, 2032. The flametosser uses Taser ranges.",NULL,SR5:CF,1,0,1,,
256,"Extra Fuel (5 Shots)",1,1,Cyberware,Weapon,0.2,[2],12F,500¥,NULL,NULL,SR5:CF,1,0,1,,
257,"Junkyard Jaw",1,1,Cyberware,Weapon,0.75,[6],8F,"2,000¥","A solid metal replacement for the lower jaw, and a more hidden upper mouth enhancement as well, the junkyard jaw is only seen on barrens gangers who just don’t care about normal society at all anymore. Able to bite through bottles, knife blades, and even metal pipes with relative ease, the junkyard jaw’s a famous intimidation tool. Note that very few users are further modified to digest the inorganic matter that they bite, so they are forced to spit it out after a good chomp. A junkyard jaw can obviously do just terrible things to the metahuman body. Approach with caution. The junkyard jaw provides one additional box on your physical condition monitor, like a cyberlimb.",NULL,SR5:CF,1,0,1,PhysicalMax:1,
258,"Oral Slasher",1,1,Cyberware,Weapon,0.25,[3],12R,750¥,"A spool of pointed wire placed under the tongue, the oral slasher is more truthfully called the oral thruster, launched forward by compressed air to impale the target before being quickly rewound, not unlike a frog’s tongue, only more dangerous. With a range of only one meter, the slasher is a melee weapon but is covered by the Exotic Weapon Skill, rather than Unarmed Combat. Oral slashers are often connected to chemical reserves, but not always.",NULL,SR5:CF,1,0,1,,
259,"Weapon Launcher",1,1,Cyberware,Weapon,0.2,[2],12F,"weapon + 500¥","An unusual modification of a cyber-implant weapon that takes the form of either a ballista-like or catapult- like upgrade, this augmentations allows weapons to be launched as short-range projectiles. This is obviously something of a desperation maneuver, but the surprise factor can, hopefully, overcome the obvious downside of no longer being armed. The attack is resolved as if thrown by the user’s Strength, or the Strength of the cyberlimb if placed into a cyberlimb, and uses the Throwing Weapon skill. If the launched weapon can be gathered up, it takes three Complex Actions to reset the launcher, then two more Complex Actions to re-attach the weapon.",NULL,SR5:CF,1,0,1,,
260,"Hand Blade (Retractable)",1,1,Cyberware,Weapon,0.25,[2],10F,"2,500¥",NULL,NULL,Core,1,0,1,,
261,"Hand Razors (Retractable)",1,1,Cyberware,Weapon,0.2,[2],8F,"1,250¥",NULL,NULL,Core,1,0,1,,
262,"Spurs (Retractable)",1,1,Cyberware,Weapon,0.3,[3],12F,"5,000¥",NULL,NULL,Core,1,0,1,,
263,"Shock Hand",1,1,Cyberware,Weapon,0.25,[4],8R,"5,000¥",NULL,NULL,Core,1,0,1,,
264,"Obvious Full Arm Left",1,1,Cyberware,Limb,1,15,4,"15,000¥","These implants are immediately recognizable as artificial limbs unless you cover them with clothing. They are often chromed or matte colors but visibly mechanical in nature. Some folks like them glaringly obvious and outlandish, some find the artificiality repellant and disturbing. This can affect your social dealings in some circles, especially upper-crust society and the purist crowd.",NULL,Core,1,1,0,PhysicalMax:1,
265,"Obvious Full Leg Left",1,1,Cyberware,Limb,1,20,4,"15,000¥","These implants are immediately recognizable as artificial limbs unless you cover them with clothing. They are often chromed or matte colors but visibly mechanical in nature. Some folks like them glaringly obvious and outlandish, some find the artificiality repellant and disturbing. This can affect your social dealings in some circles, especially upper-crust society and the purist crowd.",NULL,Core,1,1,0,PhysicalMax:1,
266,"Obvious Lower Leg Left",1,1,Cyberware,Limb,0.45,12,4,"10,000¥","These implants are immediately recognizable as artificial limbs unless you cover them with clothing. They are often chromed or matte colors but visibly mechanical in nature. Some folks like them glaringly obvious and outlandish, some find the artificiality repellant and disturbing. This can affect your social dealings in some circles, especially upper-crust society and the purist crowd.",NULL,Core,1,1,0,PhysicalMax:1,
267,"Obvious Lower Arm Left",1,1,Cyberware,Limb,0.45,10,4,"10,000¥","These implants are immediately recognizable as artificial limbs unless you cover them with clothing. They are often chromed or matte colors but visibly mechanical in nature. Some folks like them glaringly obvious and outlandish, some find the artificiality repellant and disturbing. This can affect your social dealings in some circles, especially upper-crust society and the purist crowd.",NULL,Core,1,1,0,PhysicalMax:1,
268,"Obvious Hand Left",1,1,Cyberware,Limb,0.25,4,2,"5,000¥","These implants are immediately recognizable as artificial limbs unless you cover them with clothing. They are often chromed or matte colors but visibly mechanical in nature. Some folks like them glaringly obvious and outlandish, some find the artificiality repellant and disturbing. This can affect your social dealings in some circles, especially upper-crust society and the purist crowd.",NULL,Core,1,1,0,PhysicalMax:1,
269,"Obvious Hand Right",1,1,Cyberware,Limb,0.25,4,2,"5,000¥","These implants are immediately recognizable as artificial limbs unless you cover them with clothing. They are often chromed or matte colors but visibly mechanical in nature. Some folks like them glaringly obvious and outlandish, some find the artificiality repellant and disturbing. This can affect your social dealings in some circles, especially upper-crust society and the purist crowd.",NULL,Core,1,1,0,PhysicalMax:1,
270,"Obvious Foot Right",1,1,Cyberware,Limb,0.25,4,2,"5,000¥","These implants are immediately recognizable as artificial limbs unless you cover them with clothing. They are often chromed or matte colors but visibly mechanical in nature. Some folks like them glaringly obvious and outlandish, some find the artificiality repellant and disturbing. This can affect your social dealings in some circles, especially upper-crust society and the purist crowd.",NULL,Core,1,1,0,PhysicalMax:1,
278,"Primitive Prosthetic Partial Arm Left",1,1,Cyberware,Limb,-,-,-,100¥,"While not used by reputable medical corporations these days, the fact remains that SINless and the uninsured are lucky to get what they can. From the wooden (!) pegleg and hook hand of antiquity to the unpowered metal and plastic hybrids of a century ago, these prosthetics all offer extremely limited results for an extremely limited price. In the case of hands/arms, the user is considered to have a limit/Accuracy of 1 with any use of the limb. In the case of feet/legs, the user is considered to have a walking speed half of normal and has their run multiplier reduced by one. Primitive skulls and torsos don’t exist. Poor slots.",NULL,SR5:CF,1,0,0,,
271,"Synthetic Lower Leg Right",1,1,Cyberware,Limb,0.45,6,4,"12,000¥","Synthetic limbs are disguised as natural limbs. The fact that theyâ€™re cybernetic gives them a â€“8 Concealability (the Cybertechnology skill may replace Perception for this test) when someoneâ€™s just looking, but synthetic limbs are obviously artificial to the touch.",NULL,Core,1,1,0,PhysicalMax:1,
272,"Synthetic Lower Arm Right",1,1,Cyberware,Limb,0.45,5,4,"12,000¥","Synthetic limbs are disguised as natural limbs. The fact that theyâ€™re cybernetic gives them a â€“8 Concealability (the Cybertechnology skill may replace Perception for this test) when someoneâ€™s just looking, but synthetic limbs are obviously artificial to the touch.",NULL,Core,1,1,0,PhysicalMax:1,
273,"Synthetic Full Arm Right",1,1,Cyberware,Limb,1,8,4,"20,000¥","Synthetic limbs are disguised as natural limbs. The fact that theyâ€™re cybernetic gives them a â€“8 Concealability (the Cybertechnology skill may replace Perception for this test) when someoneâ€™s just looking, but synthetic limbs are obviously artificial to the touch.",NULL,Core,1,1,0,PhysicalMax:1,
274,"Synthetic Full Leg Right",1,1,Cyberware,Limb,1,10,4,"20,000¥","Synthetic limbs are disguised as natural limbs. The fact that theyâ€™re cybernetic gives them a â€“8 Concealability (the Cybertechnology skill may replace Perception for this test) when someoneâ€™s just looking, but synthetic limbs are obviously artificial to the touch.",NULL,Core,1,1,0,PhysicalMax:1,
275,"Synthetic Hand Right",1,1,Cyberware,Limb,0.25,2,2,"6,000¥","Synthetic limbs are disguised as natural limbs. The fact that theyâ€™re cybernetic gives them a â€“8 Concealability (the Cybertechnology skill may replace Perception for this test) when someoneâ€™s just looking, but synthetic limbs are obviously artificial to the touch.",NULL,Core,1,1,0,PhysicalMax:1,
276,"Synthetic Foot Right",1,1,Cyberware,Limb,0.25,2,2,"6,000¥","Synthetic limbs are disguised as natural limbs. The fact that theyâ€™re cybernetic gives them a â€“8 Concealability (the Cybertechnology skill may replace Perception for this test) when someoneâ€™s just looking, but synthetic limbs are obviously artificial to the touch.",NULL,Core,1,1,0,PhysicalMax:1,
277,"Synthetic Foot Left",1,1,Cyberware,Limb,0.25,2,2,"6,000¥","Synthetic limbs are disguised as natural limbs. The fact that theyâ€™re cybernetic gives them a â€“8 Concealability (the Cybertechnology skill may replace Perception for this test) when someoneâ€™s just looking, but synthetic limbs are obviously artificial to the touch.",NULL,Core,1,1,0,PhysicalMax:1,
279,"Primitive Prosthetic Partial Arm Right",1,1,Cyberware,Limb,-,-,-,100¥,"While not used by reputable medical corporations these days, the fact remains that SINless and the uninsured are lucky to get what they can. From the wooden (!) pegleg and hook hand of antiquity to the unpowered metal and plastic hybrids of a century ago, these prosthetics all offer extremely limited results for an extremely limited price. In the case of hands/arms, the user is considered to have a limit/Accuracy of 1 with any use of the limb. In the case of feet/legs, the user is considered to have a walking speed half of normal and has their run multiplier reduced by one. Primitive skulls and torsos don’t exist. Poor slots.",NULL,SR5:CF,1,0,0,,
280,"Primitive Prosthetic Partial Leg Right",1,1,Cyberware,Limb,-,-,-,100¥,"While not used by reputable medical corporations these days, the fact remains that SINless and the uninsured are lucky to get what they can. From the wooden (!) pegleg and hook hand of antiquity to the unpowered metal and plastic hybrids of a century ago, these prosthetics all offer extremely limited results for an extremely limited price. In the case of hands/arms, the user is considered to have a limit/Accuracy of 1 with any use of the limb. In the case of feet/legs, the user is considered to have a walking speed half of normal and has their run multiplier reduced by one. Primitive skulls and torsos don’t exist. Poor slots.",NULL,SR5:CF,1,0,0,,
281,"Primitive Prosthetic Hand Left",1,1,Cyberware,Limb,-,-,-,20¥,"While not used by reputable medical corporations these days, the fact remains that SINless and the uninsured are lucky to get what they can. From the wooden (!) pegleg and hook hand of antiquity to the unpowered metal and plastic hybrids of a century ago, these prosthetics all offer extremely limited results for an extremely limited price. In the case of hands/arms, the user is considered to have a limit/Accuracy of 1 with any use of the limb. In the case of feet/legs, the user is considered to have a walking speed half of normal and has their run multiplier reduced by one. Primitive skulls and torsos don’t exist. Poor slots.",NULL,SR5:CF,1,0,0,,
282,"Primitive Prosthetic Hand Right",1,1,Cyberware,Limb,-,-,-,20¥,"While not used by reputable medical corporations these days, the fact remains that SINless and the uninsured are lucky to get what they can. From the wooden (!) pegleg and hook hand of antiquity to the unpowered metal and plastic hybrids of a century ago, these prosthetics all offer extremely limited results for an extremely limited price. In the case of hands/arms, the user is considered to have a limit/Accuracy of 1 with any use of the limb. In the case of feet/legs, the user is considered to have a walking speed half of normal and has their run multiplier reduced by one. Primitive skulls and torsos don’t exist. Poor slots.",NULL,SR5:CF,1,0,0,,
283,"Primitive Prosthetic Foot Right",1,1,Cyberware,Limb,-,-,-,20¥,"While not used by reputable medical corporations these days, the fact remains that SINless and the uninsured are lucky to get what they can. From the wooden (!) pegleg and hook hand of antiquity to the unpowered metal and plastic hybrids of a century ago, these prosthetics all offer extremely limited results for an extremely limited price. In the case of hands/arms, the user is considered to have a limit/Accuracy of 1 with any use of the limb. In the case of feet/legs, the user is considered to have a walking speed half of normal and has their run multiplier reduced by one. Primitive skulls and torsos don’t exist. Poor slots.",NULL,SR5:CF,1,0,0,,
284,"Primitive Prosthetic Full Arm Right",1,1,Cyberware,Limb,-,-,-,250¥,"While not used by reputable medical corporations these days, the fact remains that SINless and the uninsured are lucky to get what they can. From the wooden (!) pegleg and hook hand of antiquity to the unpowered metal and plastic hybrids of a century ago, these prosthetics all offer extremely limited results for an extremely limited price. In the case of hands/arms, the user is considered to have a limit/Accuracy of 1 with any use of the limb. In the case of feet/legs, the user is considered to have a walking speed half of normal and has their run multiplier reduced by one. Primitive skulls and torsos don’t exist. Poor slots.",NULL,SR5:CF,1,0,0,,
285,"Primitive Prosthetic Full Leg Right",1,1,Cyberware,Limb,-,-,-,250¥,"While not used by reputable medical corporations these days, the fact remains that SINless and the uninsured are lucky to get what they can. From the wooden (!) pegleg and hook hand of antiquity to the unpowered metal and plastic hybrids of a century ago, these prosthetics all offer extremely limited results for an extremely limited price. In the case of hands/arms, the user is considered to have a limit/Accuracy of 1 with any use of the limb. In the case of feet/legs, the user is considered to have a walking speed half of normal and has their run multiplier reduced by one. Primitive skulls and torsos don’t exist. Poor slots.",NULL,SR5:CF,1,0,0,,
286,"Primitive Prosthetic Full Leg Left",1,1,Cyberware,Limb,-,-,-,250¥,"While not used by reputable medical corporations these days, the fact remains that SINless and the uninsured are lucky to get what they can. From the wooden (!) pegleg and hook hand of antiquity to the unpowered metal and plastic hybrids of a century ago, these prosthetics all offer extremely limited results for an extremely limited price. In the case of hands/arms, the user is considered to have a limit/Accuracy of 1 with any use of the limb. In the case of feet/legs, the user is considered to have a walking speed half of normal and has their run multiplier reduced by one. Primitive skulls and torsos don’t exist. Poor slots.",NULL,SR5:CF,1,0,0,,
287,"Customized Strength",12,3,Cyberware,"Limb Enhancement",-,-,"Cyberlimb + 1",+5000¥,"You can have your cyberlimb tailored and customized to your frame and musculature. Customization lets you add to your limb’s base Strength and/or Agility ratings. Each increase of either attribute increases the limb’s Availability and cost. If either of your limb’s attributes are increased beyond your natural maximum for that attribute, you can’t use the cyberlimb (so don’t overdo it), but you can still add cyberlimb enhancements. You customize your cyberlimb when you buy it; you can’t customize it after purchase, but you can add enhancements.",NULL,Core,0,0,1,,
288,"Customized Agility",12,3,Cyberware,"Limb Enhancement",-,-,"Cyberlimb + 1",+5000¥,"You can have your cyberlimb tailored and customized to your frame and musculature. Customization lets you add to your limb’s base Strength and/or Agility ratings. Each increase of either attribute increases the limb’s Availability and cost. If either of your limb’s attributes are increased beyond your natural maximum for that attribute, you can’t use the cyberlimb (so don’t overdo it), but you can still add cyberlimb enhancements. You customize your cyberlimb when you buy it; you can’t customize it after purchase, but you can add enhancements.",NULL,Core,0,0,1,,
289,"Metatype Reduction (Ork)",1,1,Cyberware,Body,0.3,-,4,"6,000¥","More a series of treatments and surgeries than a single modification, metatype reduction is generally aimed at goblinoids, a.k.a. “the ugly ones,” rather than surgically rebuilding an elf as a human or something. Jawlines are shattered and rebuilt with tusk removal, body hair is lasered off for good, bone deposits and hard plates cut away, and even some delicate work with sweat glands and body oil production to reduce their output and make them more friendly to human noses. Mostly seen in Japanacorps, but there’s a cultural shame-spiral that drives even western goblinoids to the procedure. Orks who undergo the procedure gain the Human- Looking positive quality. Trolls who undertake the procedure have their racial Charisma maximum increased by one. This augmentation cannot be combined with the metaposeur genetic treatment.",NULL,SR5:CF,1,0,0,,
290,"Monkey Foot",1,1,Cyberware,"Limb Accessories",0.3,[2],8,6000¥,"Formally called prehensile, everyone called them “monkey feet” until the name stuck. Most often seen as a modification for those in long-term space flight, these modified cyberfeet are nearly as adroit as the user’s hands and are capable of performing a vast array of motions, though they also result in slower movement. A user with monkey feet can use them as hands, but their Physical limit and Accuracy are reduced by 1 when doing so. In addition, the user’s running multiplier is reduced by 1.",NULL,SR5:CF,0,0,1,PhysicalLimit:-1,
